date,crypto.com,ewm_short,sma_long,pos
"2025-12-28, 08:00:00",29616.0697,40128.61245256288,66250.91787285714,-1
"2025-12-28, 09:00:00",29775.6984,39361.72993015081,65634.82467571428,-1
"2025-12-28, 10:00:00",29433.0832,38626.2746168063,65028.147705714284,-1
"2025-12-28, 11:00:00",29338.006,37938.254719265096,64432.588194285716,-1
"2025-12-28, 12:00:00",29578.2717,37318.996717838054,63989.78923714286,-1
"2025-12-28, 13:00:00",29606.8795,36747.72877577597,63522.46795428572,-1
"2025-12-28, 14:00:00",31278.7524,36342.61941460738,63151.326825714284,-1
"2025-12-28, 15:00:00",31870.5417,36011.35439871054,62836.70371857143,-1
"2025-12-28, 16:00:00",32062.6276,35718.85611732457,62536.316282857144,-1
"2025-12-28, 17:00:00",32060.9286,35447.898523448675,62246.15408142857,-1
"2025-12-28, 18:00:00",35994.1082,35488.35849948951,62011.30486571428,-1
"2025-12-28, 19:00:00",37746.3769,35655.61912174955,61817.615372857144,-1
"2025-12-28, 20:00:00",38615.8812,35874.89779421255,61639.39810285714,-1
"2025-12-28, 21:00:00",39683.0046,36156.97977982643,61402.921261428564,-1
"2025-12-28, 22:00:00",37388.152,36248.17772206151,61070.538868571435,-1
"2025-12-28, 23:00:00",35486.5698,36191.762320427326,60676.564105714286,-1
"2025-12-29, 00:00:00",40580.372,36516.84451891419,60136.77467714286,-1
"2025-12-29, 01:00:00",45452.7701,37178.76493232796,59620.20529,-1
"2025-12-29, 02:00:00",56021.2769,38574.50655956293,59224.15249571428,-1
"2025-12-29, 03:00:00",62853.3689,40372.94080700271,58921.95663571428,-1
"2025-12-29, 04:00:00",67132.3965,42355.1227101877,58659.90032428571,-1
"2025-12-29, 05:00:00",67518.3919,44219.06857609973,58372.02757,-1
"2025-12-29, 06:00:00",68760.9218,46036.98362972198,58113.55886857143,-1
"2025-12-29, 07:00:00",71929.166,47954.92306455739,57889.37298142857,-1
"2025-12-29, 08:00:00",72938.0064,49805.52183014573,57702.834754285715,-1
"2025-12-29, 09:00:00",81515.4428,52154.40486494975,57637.145064285716,-1
"2025-12-29, 10:00:00",84708.0012,54565.78237124976,57607.353581428564,-1
"2025-12-29, 11:00:00",86449.2538,56927.52099560164,57582.26146142856,-1
"2025-12-29, 12:00:00",103694.6268,60391.7510551867,57637.37082714286,1
"2025-12-29, 13:00:00",107248.2769,63862.60482146917,57659.49235714285,1
"2025-12-29, 14:00:00",117978.6923,67871.20389395293,57810.924925714295,1
"2025-12-29, 15:00:00",123829.8545,72016.28912403049,57997.29214571429,1
"2025-12-29, 16:00:00",128427.2467,76194.8785741023,58241.205161428574,1
"2025-12-29, 17:00:00",132765.1626,80385.26998342806,58547.60292285715,1
"2025-12-29, 18:00:00",133629.3583,84329.27652539637,58844.11498428571,1
"2025-12-29, 19:00:00",134248.9538,88027.03039758923,59119.479432857144,1
"2025-12-29, 20:00:00",137364.996,91681.69451628633,59454.042637142855,1
"2025-12-29, 21:00:00",137869.6637,95103.02556693178,59869.130045714286,1
"2025-12-29, 22:00:00",137811.6493,98266.62732493684,60357.15371571428,1
"2025-12-29, 23:00:00",136357.6066,101088.1813453119,60869.56588142858,1
"2025-12-30, 00:00:00",130773.1565,103287.06839380732,61534.01077285714,1
"2025-12-30, 01:00:00",126886.4002,105035.16704611789,62191.694958571425,1
"2025-12-30, 02:00:00",119259.8333,106088.84602788695,62777.06430428571,1
"2025-12-30, 03:00:00",116234.1768,106840.35201100643,63336.70079571429,1
"2025-12-30, 04:00:00",113127.7914,107306.08826204299,63877.51872571429,1
"2025-12-30, 05:00:00",111720.4982,107633.08159078055,64429.512388571435,1
"2025-12-30, 06:00:00",111015.1275,107883.603509982,65008.78945857143,1
"2025-12-30, 07:00:00",108135.9653,107902.29697590927,65558.61295428571,1
"2025-12-30, 08:00:00",114547.1859,108394.51097028636,66192.93993857142,1
"2025-12-30, 09:00:00",108035.964,108367.95193545033,66737.54395857143,1
"2025-12-30, 10:00:00",106042.3774,108195.68715504659,67269.37798142858,1
"2025-12-30, 11:00:00",104766.1769,107941.64935837648,67815.85857428571,1
"2025-12-30, 12:00:00",88338.7528,106489.58294664489,68316.28596000001,1
"2025-12-30, 13:00:00",86812.1662,105031.9965209675,68997.92256571428,1
"2025-12-30, 14:00:00",89279.1954,103865.1223638588,69787.52329714285,1
"2025-12-30, 15:00:00",89391.7543,102793.02102579517,70647.61165571428,1
"2025-12-30, 16:00:00",91346.6246,101945.1398090696,71571.87397714285,1
"2025-12-30, 17:00:00",91014.6765,101135.47586024964,72505.41947000001,1
"2025-12-30, 18:00:00",89433.7261,100268.67958171263,73455.12695428572,1
"2025-12-30, 19:00:00",91261.8528,99601.50722751168,74468.98620428571,1
"2025-12-30, 20:00:00",91612.3015,99009.71421065896,75457.63321,1
"2025-12-30, 21:00:00",92111.9857,98498.77135801756,76413.66556857144,1
"2025-12-30, 22:00:00",92425.3764,98048.89025001625,77376.86956142858,1
"2025-12-30, 23:00:00",92457.9555,97634.74693520024,78333.11454999998,1
"2025-12-31, 00:00:00",93491.3849,97327.8312288891,79306.83664714287,1
"2025-12-31, 01:00:00",95621.6217,97201.44533786028,80314.81166142855,1
"2025-12-31, 02:00:00",94686.3528,97015.14218690766,81302.77428714286,1
"2025-12-31, 03:00:00",91354.8129,96595.8585360256,82208.18367428573,1
"2025-12-31, 04:00:00",90661.0402,96156.24236298665,83099.29583714285,1
"2025-12-31, 05:00:00",90907.3368,95767.43454350617,83991.05682571427,1
"2025-12-31, 06:00:00",90518.277,95378.60805880201,84861.08835857143,1
"2025-12-31, 07:00:00",90184.6753,94993.87229889075,85724.07374285713,1
"2025-12-31, 08:00:00",83152.3205,94116.72031378772,86491.49141857143,1
"2025-12-31, 09:00:00",81461.8224,93179.32046832197,87236.11736714286,1
"2025-12-31, 10:00:00",80831.8457,92264.69270770552,87968.31128142859,1
"2025-12-31, 11:00:00",83676.9547,91628.563966394,88740.74092714286,1
"2025-12-31, 12:00:00",85625.0853,91183.8618429574,89517.11711142857,1
"2025-12-31, 13:00:00",85680.4777,90776.20375829388,90285.83048285714,1
"2025-12-31, 14:00:00",82371.764,90153.65266508692,91004.53243142855,-1
"2025-12-31, 15:00:00",82142.0312,89560.19922322863,91719.97675428572,-1
"2025-12-31, 16:00:00",82861.1256,89063.9715474339,92389.50557428571,-1
"2025-12-31, 17:00:00",82842.2554,88603.10368466101,93033.73241,-1
"2025-12-31, 18:00:00",82922.8821,88182.34653024169,93666.68956571429,-1
"2025-12-31, 19:00:00",80059.3123,87580.64029096453,94243.49396142857,-1
