date,v,ma,std,zscore,pos
"2025-05-07, 03:00:00",1491180.76357509,1537091.7794918579,72489.93377089656,-0.6333433282180791,1
"2025-05-07, 04:00:00",1491118.99917468,1536385.183265681,72136.71178467872,-0.6275055096233955,1
"2025-05-07, 05:00:00",1490765.02041641,1535677.6145709439,71776.65404938655,-0.6257270521920879,1
"2025-05-07, 06:00:00",1490803.76014597,1534970.5071508226,71408.12767178894,-0.6185114838447374,1
"2025-05-07, 07:00:00",1490741.99852567,1534263.6811405967,71031.71414956062,-0.6127077621031327,1
"2025-05-07, 08:00:00",1490833.30674202,1533556.9513735448,70645.44037942971,-0.6047615302850448,1
"2025-05-07, 09:00:00",1490487.8793836,1532848.730165645,70250.81122435302,-0.602994471434092,1
"2025-05-07, 10:00:00",1490469.54204439,1532140.4910544844,69846.89609919232,-0.5966041633534559,1
"2025-05-07, 11:00:00",1490435.86204125,1531431.7023357719,69432.74610321953,-0.5904395633953016,1
"2025-05-07, 12:00:00",1490560.8765328,1530723.4052018395,69008.3937566002,-0.581994834000874,1
"2025-05-07, 13:00:00",1490506.51561614,1530014.7225243084,68573.93125306188,-0.5761403230969669,1
"2025-05-07, 14:00:00",1490524.86983967,1529306.0136952642,68129.05522891722,-0.5692306127728859,1
"2025-05-07, 15:00:00",1490248.00980924,1528599.280808058,67680.38250372541,-0.5666526928494692,1
"2025-05-07, 16:00:00",1489843.02609958,1527891.3548139222,67223.29522082246,-0.565999161293072,1
"2025-05-07, 17:00:00",1490044.94226862,1527183.6392917915,66753.78856109585,-0.5563533969188967,1
"2025-05-07, 18:00:00",1490001.02408244,1526475.784209063,66273.5686428003,-0.5503666223742061,1
"2025-05-07, 19:00:00",1489888.63883672,1525766.450335029,65780.52290385656,-0.5454169397641804,1
"2025-05-07, 20:00:00",1489940.63118912,1525057.67696224,65276.55469740867,-0.5379733341611849,1
"2025-05-07, 21:00:00",1489884.28017903,1524347.7762545296,64759.23197601519,-0.5321788882280719,1
"2025-05-07, 22:00:00",1489859.46536236,1523637.8886273091,64230.16553966168,-0.5258965624818634,1
"2025-05-07, 23:00:00",1487880.80301522,1522919.3576048722,63693.197506724166,-0.5501145485112937,1
"2025-05-08, 00:00:00",1489459.25612318,1522207.64955999,63139.786379809375,-0.5186649387727763,1
"2025-05-08, 01:00:00",1489482.42830567,1521494.4415766883,62569.89566379776,-0.5116200519659838,1
"2025-05-08, 02:00:00",1489494.97025972,1520781.1606208072,61986.2224687068,-0.5047281333667618,1
"2025-05-08, 03:00:00",1489477.24314815,1520025.0500109023,61291.30618558536,-0.49840358712956795,1
"2025-05-08, 04:00:00",1489434.3053224,1519266.6214475515,60573.90455226355,-0.4924945212903018,1
"2025-05-08, 05:00:00",1489482.52040069,1518508.2500603858,59837.776658493014,-0.48507366550986547,1
"2025-05-08, 06:00:00",1489526.12859227,1517749.9746653875,59082.381191793625,-0.4777032594792876,1
"2025-05-08, 07:00:00",1489509.53680163,1516993.4532790943,58311.97068814493,-0.47132546118960045,1
"2025-05-08, 08:00:00",1489729.6233319,1516238.5901965036,57522.63198796331,-0.4608441225385968,1
"2025-05-08, 09:00:00",1489757.04986244,1515484.240165256,56713.20310688171,-0.4536366999820222,1
"2025-05-08, 10:00:00",1489790.56836531,1514730.8682773374,55883.99545624025,-0.4462869862545301,1
"2025-05-08, 11:00:00",1489950.73913039,1513979.898523014,55036.301378562755,-0.43660563647512024,1
"2025-05-08, 12:00:00",1489973.58268461,1513229.0440482998,54164.89175270788,-0.42934566305169664,1
"2025-05-08, 13:00:00",1489960.94849767,1512478.636926647,53270.05438676872,-0.42270819296497675,1
"2025-05-08, 14:00:00",1490022.67263709,1511728.8282814363,52349.97557234151,-0.4146354493394349,1
"2025-05-08, 15:00:00",1490082.29601967,1510974.6508942572,51388.53027004084,-0.4065567698628511,1
"2025-05-08, 16:00:00",1490001.89510966,1510219.9051435743,50396.88029371814,-0.4011758250923815,1
"2025-05-08, 17:00:00",1490060.12093842,1509464.6298637227,49371.1723939795,-0.3930331807893002,1
"2025-05-08, 18:00:00",1490086.13513815,1508708.8912399616,48309.93042184128,-0.38548505326333593,1
"2025-05-08, 19:00:00",1490337.6972724,1507954.2046252487,47212.16352156283,-0.37313493046771573,1
"2025-05-08, 20:00:00",1490103.0370725,1507197.827409884,46073.90194368467,-0.37102979379256057,1
"2025-05-08, 21:00:00",1490292.65083996,1506442.6654029589,44895.09946023357,-0.35972778225614555,1
"2025-05-08, 22:00:00",1490015.86942628,1505686.1065200104,43671.087349636655,-0.3588240651823555,1
"2025-05-08, 23:00:00",1490033.6013833,1504929.628079712,42398.19487741637,-0.351336342018333,1
"2025-05-09, 00:00:00",1490300.67445099,1504174.9839459867,41074.16014708655,-0.3377868091596464,1
